                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2021


NAME: Lake Echo, Nova Scotia                  
ELEV: 26 meters    LAT: 44-44.28 N    LONG: 063-22.66 W


                   TEMPERATURE (C), RAIN (cm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    0.4    5.2  21:46   -5.1  03:28   17.9    0.0   1.62    5.0   35.4  14:00    134
 02   -7.4    4.6  00:00  -13.5  14:08   25.7    0.0   0.00   10.8   43.5  08:30    315
 03   -3.3    1.9  15:52   -8.7  01:47   21.6    0.0   0.00    8.6   38.6  02:45    314
 04   -0.3    4.9  15:56   -4.2  06:02   18.6    0.0   0.00    5.9   30.6  07:59    298
 05   -5.2   -2.9  16:44   -7.6  23:13   23.5    0.0   0.00    3.9   22.5  02:55    309
 06   -4.1    0.6  16:23   -7.2  08:08   22.4    0.0   0.00    3.3   24.1  13:37    294
 07   -3.0    4.0  14:50  -10.6  06:36   21.4    0.0   0.00    2.4   20.9  13:24    318
 08   -4.0    2.3  15:25  -10.6  07:04   22.4    0.0   0.00    3.3   20.9  14:30      7
 09   -2.4    5.0  12:06  -11.1  06:24   20.7    0.0   0.02    1.3   24.1  15:21    218
 10    1.1    7.3  15:16   -2.4  21:29   17.2    0.0   0.10    2.6   17.7  13:24      5
 11    3.5    9.1  14:48   -3.0  02:20   14.8    0.0   0.02    2.7   24.1  08:41    192
 12    9.4   16.8  13:58    1.6  23:53    8.9    0.0   0.00    5.9   37.0  15:30    271
 13    0.9    3.5  00:11   -1.8  10:11   17.4    0.0   0.00    7.1   41.8  15:41    324
 14   -3.0   -0.8  00:00   -6.0  23:52   21.4    0.0   0.00    6.6   29.0  15:49    336
 15   -9.0   -6.0  00:00  -11.8  23:54   27.4    0.0   0.00   11.0   38.6  11:15    346
 16  -10.0   -5.3  17:18  -14.1  23:54   28.3    0.0   0.00    7.7   32.2  10:02    337
 17   -3.7    7.8  15:35  -15.3  04:49   22.1    0.0   0.00    2.3   25.7  12:06    260
 18    2.9    6.5  17:41   -1.3  03:45   15.5    0.0   0.28    1.5   25.7  14:05    171
 19   -4.8    4.3  01:11  -12.7  23:58   23.1    0.0   0.28   11.0   45.1  11:18    354
 20   -4.2    7.3  17:59  -14.4  06:56   22.5    0.0   0.04    1.7   20.9  14:02    259
 21    3.1   14.9  15:24   -6.5  07:45   15.2    0.0   0.00    1.2   24.1  12:41    230
 22    5.4   17.9  15:25   -3.9  06:09   13.0    0.0   0.00    1.3   16.1  12:20    234
 23    3.7   15.3  14:57   -5.1  05:52   14.7    0.0   0.00    1.5   22.5  13:08    183
 24    5.8   16.4  14:27   -2.6  07:04   12.6    0.0   0.00    1.2   14.5  14:04    142
 25    4.2    9.1  17:31    0.1  04:49   14.1    0.0   0.02    1.1   12.9  11:41    154
 26    6.3   11.5  21:39    3.0  01:56   12.1    0.0   1.08    2.0   32.2  21:43    178
 27    2.5   10.3  00:00   -0.9  23:47   15.9    0.0   0.02   13.0   57.9  11:01    351
 28    0.0    2.4  00:00   -2.1  07:16   18.3    0.0   0.34    5.0   38.6  23:50    115
 29    6.1   10.2  13:21    1.8  23:59   12.2    0.0   3.80    9.9   45.1  12:46    277
 30    2.9   11.1  17:32   -1.4  07:06   15.5    0.0   0.00    5.2   29.0  00:00    316
 31    5.4   12.2  13:19   -2.4  07:05   12.9    0.0   0.00    2.7   25.7  13:35    169
---------------------------------------------------------------------------------------
      -0.1   17.9     22  -15.3     17  569.3    0.0   7.62    4.8   57.9     27    324
    
