                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2011


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   59.2   69.6  15:30   46.7  05:20    5.8    0.0   0.00    0.5   11.0  15:40    360
 02   64.9   81.4  16:35   50.1  05:15    0.1    0.0   0.00    0.6   10.0  18:20    265
 03   61.2   70.5  13:40   54.0  00:00    3.8    0.0   0.00    1.0   12.0  06:30    233
 04   62.2   74.3  16:35   49.8  05:35    2.8    0.0   0.00    0.6   12.0  19:10    340
 05   64.0   76.6  15:40   51.5  05:25    1.0    0.0   0.00    0.6   11.0  12:55    352
 06   67.1   80.9  16:50   54.6  06:00    0.0    2.1   0.00    0.5   11.0  11:45      5
 07   59.4   69.4  16:55   53.8  23:55    5.6    0.0   0.01    1.1   15.0  14:05    236
 08   58.3   70.1  16:45   51.0  04:40    6.7    0.0   0.00    1.3   11.0  00:35    216
 09   60.8   71.8  16:45   48.0  05:40    4.2    0.0   0.00    0.5   11.0  18:15    345
 10   61.9   74.4  15:50   51.9  05:30    3.1    0.0   0.00    0.3    7.0  12:25    347
 11   61.6   75.1  14:50   53.7  02:15    3.4    0.0   0.01    0.2    7.0  12:20    280
 12   60.7   68.6  16:40   56.4  04:45    4.3    0.0   0.11    0.2   13.0  19:55    230
 13   62.1   72.5  17:05   54.9  03:35    2.9    0.0   0.05    1.1   12.0  11:50    225
 14   58.5   61.4  17:25   55.9  04:20    6.5    0.0   0.04    0.8   13.0  17:00    217
 15   61.8   74.6  15:05   55.5  02:15    3.2    0.0   0.02    0.3   11.0  16:10    237
 16   61.9   71.5  16:05   57.1  06:10    3.1    0.0   0.34    0.4   15.0  16:45    239
 17   58.5   61.9  19:15   54.6  05:45    6.5    0.0   0.06    0.1    7.0  22:00    309
 18   60.7   72.1  16:30   49.6  05:50    4.3    0.0   0.00    0.3    8.0  11:15    359
 19   59.4   67.4  17:25   54.1  04:15    5.6    0.0   0.00    0.9   15.0  18:15    233
 20   62.3   74.8  16:30   54.2  03:55    2.7    0.0   0.00    0.9   11.0  22:20    219
 21   61.8   69.3  16:55   56.9  23:55    3.2    0.0   0.00    2.0   16.0  15:10    222
 22   60.9   72.9  16:15   50.8  03:30    4.1    0.0   0.00    0.5    9.0  12:00    295
 23   62.9   75.3  15:55   51.2  05:55    2.1    0.0   0.00    0.7   13.0  14:30    359
 24   68.0   81.0  15:40   53.8  05:30    0.0    3.0   0.00    0.4    9.0  12:40     27
 25   60.6   64.1  00:05   56.8  05:10    4.4    0.0   0.14    0.5   11.0  21:35    214
 26   61.2   69.6  15:35   57.4  05:20    3.8    0.0   0.00    0.5   13.0  00:45    250
 27   62.8   72.0  15:45   56.4  05:20    2.2    0.0   0.00    0.4    9.0  12:25    340
 28   63.5   76.4  16:50   52.8  05:35    1.5    0.0   0.00    0.5   10.0  12:20      8
 29   65.1   75.7  16:10   56.1  06:10    0.0    0.1   0.00    0.4    9.0  12:25    351
 30   66.6   81.3  17:25   53.9  06:00    0.0    1.6   0.00    0.4   11.0  11:40    304
 31   62.4   70.4  11:45   55.7  00:00    2.6    0.0   0.00    0.8   10.0  05:05    196
---------------------------------------------------------------------------------------
      62.0   81.4     02   46.7     01   99.5    6.8   0.78    0.6   16.0     21    257
    
