                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2020


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   65.9   82.7  15:19   52.7  05:06    0.0    0.9   0.00    1.6   14.0  13:23    358
 02   65.9   79.9  12:39   55.2  06:36    0.0    0.9   0.00    1.9   13.0  15:51    344
 03   65.7   79.9  15:32   54.3  06:22    0.0    0.7   0.00    2.2   17.0  14:34    350
 04   68.4   85.3  16:01   57.1  06:37    0.0    3.4   0.00    1.7   13.0  21:25    305
 05   62.6   75.5  15:42   57.2  23:56    2.4    0.0   0.00    1.4    8.0  00:41    258
 06   65.3   78.3  15:16   54.6  05:35    0.0    0.3   0.00    1.9   13.0  17:05    343
 07   68.8   80.4  15:40   56.4  06:15    0.0    3.8   0.00    4.4   32.0  22:47     21
 08   70.5   79.9  13:52   61.3  23:56    0.0    5.5   0.00    6.1   31.0  00:24     45
 09   68.8   85.0  14:23   55.8  06:28    0.0    3.8   0.00    2.5   23.0  15:27    349
 10   71.2   90.2  15:52   57.7  05:59    0.0    6.2   0.00    1.2   10.0  14:11    348
 11   63.7   75.9  16:24   52.3  06:53    1.3    0.0   0.00    1.1    8.0  12:03    234
 12   55.0   60.5  16:13   50.8  23:06   10.0    0.0   0.00    0.5    5.0  04:15    280
 13   55.7   64.9  17:46   48.1  06:47    9.3    0.0   0.00    0.5    6.0  13:07     11
 14   61.1   68.6  15:09   56.0  06:30    3.9    0.0   0.02    0.7    7.0  14:11    337
 15   65.3   76.2  15:39   57.5  01:35    0.0    0.3   0.02    0.9    7.0  13:15    295
 16   63.5   71.6  15:42   56.4  07:11    1.5    0.0   0.00    0.9    7.0  01:05    350
 17   62.6   72.4  13:33   56.5  06:57    2.4    0.0   0.00    0.9    9.0  15:48    334
 18   61.6   65.8  09:58   58.7  03:56    3.4    0.0   0.86    1.7   12.0  22:43    174
 19   62.9   72.5  15:38   59.0  06:16    2.1    0.0   0.00    2.8   15.0  17:00    229
 20   61.3   72.2  15:09   54.2  23:55    3.7    0.0   0.07    0.7    8.0  16:57    293
 21   60.2   71.0  13:14   50.9  03:29    4.8    0.0   0.00    0.8    8.0  13:23    247
 22   64.6   74.7  14:02   58.6  07:31    0.4    0.0   0.00    1.5   14.0  11:32    257
 23   59.5   61.5  13:59   56.9  06:25    5.5    0.0   1.04    4.5   18.0  12:22    166
 24   58.7   64.4  12:36   56.4  22:47    6.3    0.0   0.13    4.5   17.0  05:37    178
 25   57.3   62.2  15:10   52.6  23:49    7.7    0.0   0.54    5.1   26.0  14:05    190
 26   56.7   67.4  12:30   52.4  01:32    8.3    0.0   0.01    3.8   23.0  13:49    200
 27   57.3   68.4  14:18   49.6  07:16    7.7    0.0   0.00    1.3   11.0  13:42    339
 28   58.6   69.4  13:36   49.5  07:13    6.4    0.0   0.00    1.7   11.0  13:55      1
 29   61.7   73.3  13:05   52.3  05:47    3.3    0.0   0.00    1.4    9.0  13:30     13
 30   61.5   75.3  15:32   52.1  07:34    3.5    0.0   0.00    0.5    7.0  17:27    324
---------------------------------------------------------------------------------------
      62.7   90.2     10   48.1     13   94.1   25.8   2.69    2.0   32.0     07    285
    
