                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2020


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   65.7   79.3  16:15   57.8  02:05    0.0    0.7   0.00    1.4    9.0  14:41    252
 02   69.4   86.2  16:01   55.2  06:17    0.0    4.4   0.00    1.7   12.0  18:13    246
 03   65.4   82.3  18:10   58.6  04:04    0.0    0.4   0.00    1.5   10.0  11:53    231
 04   69.6   83.9  14:56   56.5  05:32    0.0    4.6   0.00    2.1   14.0  14:05    344
 05   68.9   85.8  16:07   56.0  05:53    0.0    3.9   0.00    2.2   15.0  21:20    235
 06   63.1   75.3  14:21   58.3  23:48    1.9    0.0   0.05    3.6   20.0  13:38    209
 07   65.0   79.3  14:37   57.1  01:02    0.0    0.0   0.00    2.5   13.0  02:03    215
 08   61.5   73.3  16:28   56.0  23:58    3.5    0.0   0.00    1.4   10.0  16:57      2
 09   63.7   75.7  16:04   50.3  05:21    1.3    0.0   0.00    2.1   15.0  15:28    334
 10   66.6   80.7  16:32   53.9  06:15    0.0    1.6   0.00    1.9   12.0  15:39    346
 11   63.9   78.7  14:58   54.7  05:38    1.1    0.0   0.00    2.5   15.0  15:50    236
 12   60.7   74.0  14:04   52.3  03:36    4.3    0.0   0.00    1.7   11.0  13:37    328
 13   61.5   75.7  15:02   48.6  06:34    3.5    0.0   0.00    1.6   10.0  12:17    339
 14   64.4   78.7  16:22   50.4  06:20    0.6    0.0   0.00    1.8   14.0  14:38    358
 15   69.3   83.6  14:48   55.9  06:25    0.0    4.3   0.00    2.3   15.0  13:56    340
 16   79.0   98.3  14:34   59.5  06:34    0.0   14.0   0.00    1.3   10.0  15:10    265
 17   74.7   89.4  16:24   63.1  23:59    0.0    9.7   0.00    2.3   12.0  06:25    227
 18   68.5   82.2  15:22   60.5  02:58    0.0    3.5   0.00    2.1   12.0  20:43    265
 19   69.5   85.7  15:28   55.8  06:21    0.0    4.5   0.00    1.6   12.0  19:00    273
 20   69.9   83.9  16:23   61.3  06:37    0.0    4.9   0.12    1.7    9.0  04:24    210
 21   65.5   70.6  10:11   59.2  23:58    0.0    0.5   0.31    3.4   19.0  13:48    197
 22   63.6   74.6  15:29   57.5  08:20    1.4    0.0   0.01    2.3   14.0  17:08    333
 23   63.0   75.2  14:38   50.7  06:31    2.0    0.0   0.00    2.2   15.0  14:03    340
 24   63.4   77.1  14:34   51.6  06:06    1.6    0.0   0.00    1.4   11.0  13:30    334
 25   63.7   77.0  15:04   50.6  06:44    1.3    0.0   0.00    1.5   12.0  16:05    344
 26   64.0   75.7  13:14   52.9  06:40    1.0    0.0   0.00    1.9   16.0  13:35    337
 27   65.2   80.0  16:05   51.8  06:54    0.0    0.2   0.00    1.5   10.0  11:34    344
 28   64.5   78.8  15:28   52.3  06:41    0.5    0.0   0.00    1.4    9.0  10:38    344
 29   62.8   73.5  16:28   55.0  04:27    2.2    0.0   0.00    1.4   10.0  16:34    323
 30   61.3   76.1  15:14   47.7  06:40    3.7    0.0   0.00    1.8   12.0  19:40    247
 31   60.6   72.6  14:57   53.3  04:44    4.4    0.0   0.02    1.5   12.0  02:45    322
---------------------------------------------------------------------------------------
      65.7   98.3     16   47.7     30   34.3   57.2   0.51    1.9   20.0     06    295
    
