                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2019


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   69.3   83.1  15:40   59.6  00:00    0.0    4.3   0.00    1.6   13.0  14:40    251
 02   67.1   81.5  15:40   54.5  06:35    0.0    2.1   0.00    1.7   15.0  14:25    333
 03   68.7   85.7  16:00   54.8  05:55    0.0    3.7   0.00    1.5   11.0  14:40    264
 04   66.3   80.4  14:45   57.9  00:00    0.0    1.3   0.00    1.5   12.0  14:20    334
 05   65.5   78.2  13:35   53.7  07:05    0.0    0.5   0.00    1.2   12.0  12:45    347
 06   66.9   79.9  15:55   59.1  06:10    0.0    1.9   0.00    2.0   15.0  17:35    238
 07   63.3   68.3  14:20   59.1  22:10    1.7    0.0   0.75    1.4   10.0  19:05    250
 08   62.6   73.7  13:40   57.5  02:45    2.4    0.0   0.02    2.9   13.0  15:05    194
 09   60.4   65.9  15:55   56.1  00:00    4.6    0.0   0.28    2.5   15.0  16:25    190
 10   62.7   76.4  15:20   55.2  00:00    2.3    0.0   0.00    1.1   11.0  14:10    274
 11   63.3   77.5  14:55   53.2  03:05    1.7    0.0   0.00    1.3   10.0  16:00    228
 12   66.9   82.4  15:25   54.1  06:55    0.0    1.9   0.24    2.4   14.0  15:40    216
 13   63.5   70.4  16:00   58.5  04:30    1.5    0.0   0.03    3.4   13.0  08:40    204
 14   62.0   66.8  15:20   58.7  22:45    3.0    0.0   0.04    2.7   11.0  14:45    193
 15   58.2   60.8  17:15   55.9  21:45    6.8    0.0   0.32    3.3   13.0  15:00    180
 16   57.0   67.1  14:40   49.3  06:40    8.0    0.0   0.11    1.7   11.0  10:35    186
 17   56.8   63.0  16:20   54.4  09:35    8.2    0.0   0.56    3.6   17.0  14:10    169
 18   58.8   71.0  14:40   52.0  00:00    6.2    0.0   0.08    1.3   15.0  17:20    323
 19   59.8   75.6  15:05   49.0  04:50    5.2    0.0   0.00    1.2    9.0  11:45    276
 20   60.5   69.5  14:55   55.3  23:50    4.5    0.0   0.04    1.3    8.0  12:35    193
 21   61.2   69.5  13:10   54.6  03:20    3.8    0.0   0.00    1.2   10.0  14:35    220
 22   59.5   63.0  17:35   57.6  23:55    5.5    0.0   0.23    2.1   13.0  18:10    183
 23   58.2   60.8  11:05   54.7  07:05    6.8    0.0   0.03    3.6   18.0  05:45    194
 24   63.4   75.1  15:25   58.0  00:05    1.6    0.0   0.00    2.4   14.0  02:10    224
 25   61.3   74.0  15:00   49.7  07:15    3.7    0.0   0.00    1.2    9.0  23:40    305
 26   61.4   67.1  15:40   57.5  23:55    3.6    0.0   0.10    2.9   22.0  07:40    218
 27   54.8   63.8  12:25   46.5  23:55   10.2    0.0   0.00    4.0   24.0  13:55    217
 28   51.5   63.3  15:20   45.2  05:25   13.5    0.0   0.15    1.7   17.0  14:25    348
 29   50.1   57.3  15:35   44.1  06:40   14.9    0.0   0.00    2.4   19.0  23:10     43
 30   52.0   63.9  15:00   42.6  00:00   13.0    0.0   0.00    3.2   18.0  00:20     39
---------------------------------------------------------------------------------------
      61.1   85.7     03   42.6     01  132.7   15.7   2.98    2.1   24.0     27    212
    
