                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2013


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   68.4   82.1  17:20   57.3  04:55    0.0    3.4   0.00    0.3    9.0  15:50    259
 02   69.0   81.5  16:35   58.7  06:35    0.0    4.0   0.00    0.2   11.0  16:50    294
 03   64.5   74.5  17:20   60.1  05:35    0.5    0.0   0.09    0.1    6.0  15:05    333
 04   63.2   71.0  14:50   57.5  04:00    1.8    0.0   0.01    0.2   10.0  13:45     17
 05   61.4   64.4  14:15   58.9  03:20    3.6    0.0   0.34    0.2   11.0  14:10    218
 06   62.1   69.2  15:45   59.2  02:50    2.9    0.0   1.19    0.5    8.0  00:20    206
 07   63.0   71.9  15:05   58.6  06:20    2.0    0.0   0.00    0.1    7.0  14:35     25
 08   64.7   78.1  16:00   55.3  06:15    0.3    0.0   0.01    0.2    9.0  13:45    340
 09   62.1   74.2  15:30   55.4  05:55    2.9    0.0   0.00    0.1    8.0  14:50     16
 10   62.4   73.7  16:25   54.8  06:00    2.6    0.0   0.00    0.2    9.0  14:20     33
 11   69.8   84.8  15:35   57.1  06:40    0.0    4.8   0.00    0.1    7.0  17:50     38
 12   66.1   78.5  17:10   58.5  08:50    0.0    1.1   0.00    0.1    7.0  14:05    258
 13   61.8   65.1  15:30   58.9  04:25    3.2    0.0   0.00    0.0    6.0  04:10    281
 14   61.3   66.8  17:55   58.0  23:45    3.7    0.0   0.00    0.0    4.0  02:50     79
 15   59.9   65.2  15:45   56.1  02:45    5.1    0.0   0.16    0.2   11.0  15:30    214
 16   61.6   69.6  16:00   58.4  22:05    3.4    0.0   0.00    0.8   12.0  12:15    214
 17   58.5   62.2  15:15   55.8  23:25    6.5    0.0   0.00    0.0    6.0  03:40    136
 18   59.3   70.3  16:05   53.2  23:05    5.7    0.0   0.00    0.4    9.0  13:45    223
 19   61.0   77.5  17:35   46.2  07:00    4.0    0.0   0.00    0.1    8.0  12:35    332
 20   60.8   75.1  14:25   51.7  07:10    4.2    0.0   0.18    0.4   13.0  17:05    251
 21   60.7   71.4  15:30   53.0  07:25    4.3    0.0   0.01    0.3   12.0  16:30    251
 22   55.9   60.4  16:10   53.6  05:10    9.1    0.0   0.59    2.5   16.0  14:20    204
 23   54.9   58.6  16:00   51.0  00:00   10.1    0.0   0.52    1.6   12.0  00:40    207
 24   52.2   62.0  12:55   46.9  07:40   12.8    0.0   0.10    0.6    9.0  14:50    214
 25   51.4   58.9  15:50   46.9  00:00   13.6    0.0   0.12    0.1   11.0  11:15    344
 26   51.4   62.6  16:55   42.5  05:40   13.6    0.0   0.01    0.1    8.0  12:55    294
 27   53.0   56.2  17:45   48.1  00:35   12.0    0.0   0.03    1.5   17.0  10:55    205
 28   54.9   60.2  16:10   51.1  23:45   10.1    0.0   1.97    3.1   24.0  16:55    204
 29   52.2   56.5  19:15   49.8  00:00   12.8    0.0   0.66    4.4   21.0  19:35    201
 30   50.3   55.7  12:50   47.5  23:40   14.7    0.0   1.16    3.1   16.0  15:20    206
---------------------------------------------------------------------------------------
      59.9   84.8     11   42.5     26  165.3   13.3   7.15    0.7   24.0     28    209
    
