                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2012


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   42.9   49.4  15:10   38.0  21:55   22.1    0.0   0.45    0.7   12.0  13:55    240
 02   40.8   46.8  14:15   34.6  07:25   24.2    0.0   0.00    0.2    9.0  16:30     15
 03   45.7   60.8  14:15   33.1  03:00   19.3    0.0   0.00    0.5   10.0  18:25    176
 04   44.9   55.9  16:20   35.2  06:20   20.1    0.0   0.00    0.3    8.0  11:55    101
 05   43.4   54.4  13:55   34.6  07:05   21.6    0.0   0.00    0.2    9.0  17:50      6
 06   46.7   60.8  14:50   35.6  06:50   18.3    0.0   0.00    0.9   15.0  18:50    109
 07   51.8   61.7  12:55   44.3  08:05   13.2    0.0   0.02    0.6   19.0  00:50    195
 08   44.6   48.2  17:10   39.3  07:05   20.4    0.0   0.15    0.1    5.0  10:50    197
 09   46.5   50.4  14:30   43.5  22:35   18.5    0.0   0.14    0.1    6.0  11:55    206
 10   47.7   55.8  15:55   43.4  00:40   17.3    0.0   0.15    0.4   13.0  05:00    234
 11   44.5   47.8  14:15   42.1  23:55   20.5    0.0   0.03    1.3   12.0  12:25    215
 12   43.2   46.6  12:30   40.7  06:55   21.8    0.0   0.10    0.1    6.0  09:50    203
 13   41.7   45.3  13:35   39.8  07:30   23.3    0.0   0.23    0.2    5.0  00:20    202
 14   39.7   45.4  14:00   36.1  23:30   25.3    0.0   0.17    1.1   13.0  14:10    214
 15   38.6   47.3  14:35   34.7  01:20   26.4    0.0   0.00    0.3    8.0  11:40    245
 16   40.7   45.0  15:20   36.0  00:50   24.3    0.0   0.11    0.2    6.0  04:35    206
 17   43.7   50.1  13:40   40.5  04:50   21.3    0.0   0.51    1.3   16.0  17:30    207
 18   40.3   43.7  17:10   37.9  06:50   24.7    0.0   0.30    5.1   22.0  19:20    212
 19   39.5   44.0  14:50   34.4  23:55   25.5    0.0   0.00    2.1   18.0  00:15    214
 20   40.4   45.0  17:30   33.7  01:50   24.6    0.0   0.10    1.0   10.0  18:55    207
 21   47.8   49.8  16:05   44.9  00:05   17.2    0.0   0.11    4.4   24.0  19:15    225
 22   45.8   50.1  13:20   38.5  00:00   19.2    0.0   0.07    3.9   26.0  04:55    251
 23   41.7   48.4  14:25   37.5  01:15   23.3    0.0   0.00    1.8   15.0  15:50    224
 24   42.2   44.9  13:40   39.8  03:30   22.8    0.0   0.27    1.2   13.0  22:45    204
 25   39.7   45.5  15:25   36.2  00:00   25.3    0.0   0.01    4.1   31.0  04:30    237
 26   35.9   41.0  10:50   31.9  23:55   29.1    0.0   0.00    1.4   14.0  01:20    207
 27   35.4   44.5  15:35   29.3  07:20   29.6    0.0   0.01    0.5   11.0  12:25     30
 28   37.3   43.8  14:25   30.3  05:50   27.7    0.0   0.10    1.1   18.0  21:50    199
 29   36.6   40.1  13:25   33.5  04:30   28.4    0.0   0.14    4.2   25.0  15:40    204
---------------------------------------------------------------------------------------
      42.4   61.7     07   29.3     27  655.2    0.0   3.17    1.4   31.0     25    220
    
