                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2014


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   49.1   58.3  17:30   42.1  04:25   15.9    0.0   0.00    0.2    9.0  12:25    299
 02   49.1   59.9  15:35   41.5  04:40   15.9    0.0   0.00    1.0   14.0  15:10    235
 03   46.6   56.4  13:20   40.3  04:40   18.4    0.0   0.07    1.7   18.0  13:20    208
 04   47.5   56.9  14:25   41.2  05:35   17.5    0.0   0.03    1.3   15.0  15:30    229
 05   48.7   54.0  15:00   44.6  05:25   16.3    0.0   0.09    1.6   15.0  18:55    222
 06   51.0   58.4  16:45   46.2  07:25   14.0    0.0   0.00    0.6   16.0  00:30    223
 07   58.9   72.0  16:55   48.5  06:50    6.1    0.0   0.00    0.2   12.0  19:55    321
 08   53.0   62.0  12:20   47.2  23:55   12.0    0.0   0.17    0.9   15.0  21:30    243
 09   49.4   58.1  16:40   41.7  06:05   15.6    0.0   0.00    0.3    8.0  21:45     17
 10   49.2   58.5  15:35   39.3  06:55   15.8    0.0   0.00    0.3    8.0  12:20     25
 11   51.3   61.2  14:05   37.9  06:30   13.7    0.0   0.00    0.3   10.0  15:25      3
 12   51.6   58.7  17:00   44.5  07:05   13.4    0.0   0.00    0.8   14.0  13:15     16
 13   53.7   66.1  16:05   40.5  05:20   11.3    0.0   0.00    0.4   11.0  15:20     37
 14   54.6   70.6  16:15   41.1  07:00   10.4    0.0   0.00    0.8   13.0  19:25    246
 15   51.3   60.7  14:05   45.7  07:35   13.7    0.0   0.00    1.4   14.0  17:25    231
 16   49.2   51.5  16:25   46.8  06:10   15.8    0.0   0.27    2.1   12.0  14:05    207
 17   49.5   52.4  13:45   44.2  00:00   15.5    0.0   0.61    2.2   20.0  20:25    216
 18   48.9   58.5  15:20   41.5  05:30   16.1    0.0   0.00    1.1   13.0  00:30    233
 19   45.7   53.9  15:50   40.4  02:10   19.3    0.0   0.52    1.4   16.0  14:45    230
 20   50.8   60.4  16:20   40.2  06:30   14.2    0.0   0.01    0.8   10.0  03:10    211
 21   51.7   64.6  15:25   44.6  06:50   13.3    0.0   0.20    0.3   11.0  14:25    260
 22   45.9   55.2  14:50   40.6  07:40   19.1    0.0   1.04    1.2   14.0  13:00    220
 23   46.5   52.1  15:15   41.9  05:25   18.5    0.0   0.35    2.3   14.0  15:10    203
 24   50.5   58.2  15:10   43.9  00:00   14.5    0.0   0.24    2.6   22.0  14:10    222
 25   48.8   58.6  14:35   40.4  03:15   16.2    0.0   0.00    0.3   10.0  15:35    349
 26   48.9   58.7  16:15   40.6  06:20   16.1    0.0   0.08    1.8   15.0  22:35    218
 27   45.8   51.1  10:45   41.6  11:45   19.2    0.0   0.18    2.3   14.0  05:15    210
 28   50.4   61.6  16:20   39.1  06:05   14.6    0.0   0.01    0.6   11.0  02:10    231
 29   59.9   73.7  15:50   47.0  06:30    5.1    0.0   0.00    0.3   10.0  15:40    351
 30   61.3   75.9  17:15   48.3  04:35    3.7    0.0   0.00    0.5    9.0  17:50     48
---------------------------------------------------------------------------------------
      50.6   75.9     30   37.9     11  431.3    0.0   3.87    1.1   22.0     24    222
    
