                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2015


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   61.0   65.0  13:35   57.3  00:00    4.0    0.0   0.34    1.7   16.0  09:30    207
 02   59.2   69.5  13:00   50.1  00:00    5.8    0.0   0.01    1.0   11.0  02:45    222
 03   56.8   66.3  16:40   47.9  04:15    8.2    0.0   0.00    0.5   14.0  14:30    222
 04   55.4   63.6  17:20   50.4  02:30    9.6    0.0   0.00    0.3   11.0  11:15    346
 05   57.0   71.1  15:40   45.2  06:35    8.0    0.0   0.00    0.6   11.0  20:20    229
 06   56.5   62.6  16:50   51.5  07:40    8.5    0.0   0.18    0.2    6.0  00:05    200
 07   61.7   72.7  15:30   55.8  02:30    3.3    0.0   0.00    0.1    7.0  14:20    335
 08   62.5   73.1  15:15   54.4  05:50    2.5    0.0   0.00    0.4   10.0  09:25    207
 09   64.1   75.9  16:10   56.2  04:55    0.9    0.0   0.00    0.1    9.0  15:10    339
 10   63.4   74.4  14:35   55.4  05:30    1.6    0.0   0.00    0.4   11.0  13:15    338
 11   66.0   78.4  14:05   55.1  06:05    0.0    1.0   0.00    0.1    8.0  11:40     22
 12   66.6   79.7  15:05   54.9  07:10    0.0    1.6   0.00    0.2   12.0  13:05    353
 13   61.0   71.2  15:55   54.7  00:00    4.0    0.0   0.06    0.2    9.0  15:30    247
 14   55.4   63.5  15:30   50.5  07:10    9.6    0.0   0.00    0.4   11.0  21:40    217
 15   55.2   63.1  15:15   47.4  07:25    9.8    0.0   0.00    0.5   10.0  00:10    206
 16   57.4   68.6  16:10   46.4  07:10    7.6    0.0   0.04    0.1   10.0  14:20    296
 17   57.8   64.8  14:40   53.4  05:50    7.2    0.0   0.14    0.6   13.0  13:45    220
 18   60.7   69.6  16:55   52.0  06:50    4.3    0.0   0.00    0.2    7.0  12:45    218
 19   63.9   72.9  14:25   57.3  02:20    1.1    0.0   0.00    0.7   16.0  23:35    232
 20   66.0   72.4  13:20   53.6  23:55    0.0    1.0   0.10    1.9   19.0  14:30    234
 21   56.4   65.7  13:55   49.7  06:50    8.6    0.0   0.01    0.3   11.0  14:20    338
 22   54.3   66.3  15:45   42.0  07:05   10.7    0.0   0.00    0.2   10.0  12:50    340
 23   56.7   69.9  13:55   42.7  07:00    8.3    0.0   0.00    0.1    9.0  14:30    324
 24   61.7   75.5  14:00   49.1  07:35    3.3    0.0   0.00    0.1    8.0  14:00    255
 25   55.7   58.2  00:05   54.0  08:50    9.3    0.0   0.19    0.1   12.0  02:25    345
 26   55.1   66.4  14:25   49.1  06:30    9.9    0.0   0.00    0.2   12.0  15:50    337
 27   52.5   63.0  15:00   41.6  07:25   12.5    0.0   0.00    0.5   15.0  13:45    342
 28   55.5   66.2  15:25   47.0  07:25    9.5    0.0   0.00    0.5   13.0  12:00    352
 29   57.1   69.3  15:25   45.3  07:05    7.9    0.0   0.00    0.1    7.0  11:20     29
 30   55.0   66.2  16:25   48.5  03:40   10.0    0.0   0.00    0.1    6.0  10:35    269
---------------------------------------------------------------------------------------
      58.9   79.7     12   41.6     27  185.9    3.6   1.07    0.4   19.0     20    241
    
