                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2018


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   42.8   51.8  14:35   36.2  07:55   22.2    0.0   0.05    1.5   25.0  00:50    240
 02   39.4   45.2  12:00   36.0  07:10   25.6    0.0   0.18    0.8   14.0  16:15    217
 03   41.5   54.8  12:45   31.6  06:45   23.5    0.0   0.00    1.2   14.0  11:40    358
 04   38.1   49.7  14:00   31.9  01:45   26.9    0.0   0.23    2.1   22.0  15:10    231
 05   41.6   48.7  14:30   37.0  04:15   23.4    0.0   0.00    1.4   15.0  00:05    236
 06   43.8   57.2  12:35   34.0  06:35   21.2    0.0   0.00    1.2   15.0  15:45     14
 07   41.4   50.5  11:55   32.9  05:55   23.6    0.0   0.02    1.0   15.0  11:55      2
 08   45.1   51.9  15:25   38.2  04:00   19.9    0.0   0.17    4.2   32.0  15:15    231
 09   44.4   54.8  12:55   36.1  00:00   20.6    0.0   0.01    2.8   22.0  03:05    249
 10   43.4   59.0  13:25   30.1  05:20   21.6    0.0   0.01    0.7   11.0  13:10     23
 11   50.4   68.3  15:35   38.1  04:15   14.6    0.0   0.00    0.5   11.0  15:45      9
 12   56.3   74.5  16:05   40.7  04:05    8.7    0.0   0.00    2.2   19.0  23:35    121
 13   54.2   64.5  06:25   44.1  23:50   10.8    0.0   0.30    3.5   24.0  05:20    152
 14   45.3   53.5  15:10   37.1  00:00   19.7    0.0   0.04    2.2   28.0  08:00    251
 15   44.7   61.6  14:50   30.7  07:40   20.3    0.0   0.00    0.7   10.0  14:40      3
 16   47.5   61.5  15:30   34.3  07:40   17.5    0.0   0.00    1.1   13.0  14:15     15
 17   44.4   53.7  13:35   37.3  07:05   20.6    0.0   0.00    1.3   12.0  16:00    252
 18   46.0   58.8  16:40   37.2  02:35   19.0    0.0   0.00    0.8   11.0  09:40    254
 19   45.3   60.8  15:30   35.2  03:45   19.7    0.0   0.00    0.5   10.0  14:30    349
 20   44.9   59.5  14:15   31.9  07:35   20.1    0.0   0.00    0.8    9.0  12:40    357
 21   46.0   62.1  14:35   32.3  07:35   19.0    0.0   0.06    0.4    8.0  12:15    329
 22   41.9   47.0  02:05   36.9  23:15   23.1    0.0   0.49    2.6   22.0  15:20    240
 23   40.1   47.1  14:30   35.9  10:25   24.9    0.0   0.27    2.6   19.0  12:55    221
 24   40.7   48.8  14:30   33.1  04:30   24.3    0.0   0.22    1.6   13.0  07:10    248
 25   43.1   53.8  16:20   37.1  01:45   21.9    0.0   0.00    2.1   19.0  20:40    250
 26   42.6   45.8  16:30   39.3  06:05   22.4    0.0   0.10    5.5   21.0  10:30    214
 27   47.8   52.8  17:40   44.4  02:25   17.2    0.0   0.03    6.0   57.0  12:15    235
 28   46.1   55.3  16:35   41.3  07:55   18.9    0.0   0.01    1.4   31.0  01:35    225
 29   48.3   57.8  14:10   42.1  00:40   16.7    0.0   0.00    1.3   17.0  14:35    245
 30   50.3   61.7  15:50   44.6  03:00   14.7    0.0   0.00    2.6   36.0  08:20    249
 31   50.7   61.4  16:20   44.7  07:05   14.3    0.0   0.00    1.0   29.0  23:30    338
---------------------------------------------------------------------------------------
      45.1   74.5     12   30.1     10  616.9    0.0   2.19    1.9   57.0     27    239
    
