                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2018


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   34.8   44.0  14:25   28.5  07:45   30.2    0.0   0.00    0.0    6.0  13:25     10
 02   36.3   41.3  14:30   32.0  04:05   28.7    0.0   0.00    0.0    4.0  17:30    313
 03   38.6   48.5  14:00   30.6  07:30   26.4    0.0   0.01    0.1    9.0  12:35    306
 04   41.3   46.1  13:50   35.2  02:05   23.7    0.0   0.13    0.0    4.0  06:55    281
 05   46.1   50.2  15:00   43.2  00:05   18.9    0.0   0.33    0.1    8.0  11:00    185
 06   44.5   48.0  01:00   42.0  00:00   20.5    0.0   0.01    1.2   13.0  05:00    195
 07   42.5   44.9  14:00   40.4  07:35   22.5    0.0   0.32    0.1    6.0  07:15    182
 08   44.1   47.4  14:05   40.9  09:35   20.9    0.0   0.15    0.0    4.0  08:25    204
 09   43.9   45.4  14:20   40.7  23:20   21.1    0.0   0.18    0.6   15.0  23:50    228
 10   41.8   44.6  13:45   40.6  01:05   23.2    0.0   0.20    0.8   10.0  00:30    194
 11   45.2   49.6  16:00   40.9  00:05   19.8    0.0   1.17    0.3   13.0  07:50    172
 12   49.0   50.9  10:35   46.9  23:40   16.0    0.0   0.23    1.2   15.0  12:35    197
 13   49.1   59.2  13:20   44.6  00:00   15.9    0.0   0.01    0.0   10.0  19:05    294
 14   45.3   53.5  15:40   40.2  23:20   19.7    0.0   0.01    0.0    8.0  05:00    282
 15   48.8   62.8  14:35   39.5  05:20   16.2    0.0   0.05    0.2   11.0  15:30    176
 16   48.3   55.2  13:55   41.5  00:00   16.7    0.0   0.18    1.0   19.0  12:50    194
 17   47.2   53.1  12:30   40.9  01:00   17.8    0.0   0.45    0.6   16.0  23:20    184
 18   43.7   50.7  00:35   39.9  21:55   21.3    0.0   0.67    1.5   17.0  05:20    187
 19   43.1   46.1  12:30   39.5  01:50   21.9    0.0   0.00    1.9   16.0  13:20    185
 20   43.0   47.7  23:50   38.4  04:05   22.0    0.0   0.00    2.8   19.0  23:45    180
 21   46.1   50.6  11:00   40.8  20:25   18.9    0.0   0.08    4.6   24.0  07:20    182
 22   41.5   46.1  15:30   37.5  21:10   23.5    0.0   0.02    1.1   15.0  03:10    191
 23   42.1   48.7  22:15   38.7  00:05   22.9    0.0   0.16    0.7   16.0  22:45    179
 24   44.5   48.2  02:35   39.1  23:25   20.5    0.0   1.12    1.2   12.0  00:15    187
 25   38.5   43.0  15:00   35.0  05:45   26.5    0.0   0.66    1.0   11.0  14:55    186
 26   39.0   40.9  14:35   36.9  03:20   26.0    0.0   0.00    1.3   10.0  00:05    187
 27   44.1   47.7  10:05   39.8  01:50   20.9    0.0   0.74    1.9   21.0  08:20    208
 28   48.5   55.8  13:40   42.2  05:15   16.5    0.0   0.00    0.7   13.0  15:05    184
 29   46.2   54.4  12:55   42.0  23:25   18.8    0.0   0.54    1.2   14.0  18:35    193
 30   41.8   46.8  15:05   37.8  23:55   23.2    0.0   0.02    1.5   15.0  21:25    194
 31   41.4   45.4  14:25   37.6  00:25   23.6    0.0   0.29    1.3   10.0  11:45    190
---------------------------------------------------------------------------------------
      43.6   62.8     15   28.5     01  664.8    0.0   7.73    0.9   24.0     21    189
    
