                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2009


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   41.9   47.5  14:20   35.4  00:00   23.1    0.0   0.00    0.5   11.0  11:55     19
 02   37.6   46.4  13:15   30.7  00:00   27.4    0.0   0.01    0.4    8.0  13:50      9
 03   34.1   44.3  13:00   27.7  05:40   30.9    0.0   0.00    0.0    4.0  13:10    233
 04   32.8   36.9  14:25   27.5  05:25   32.2    0.0   0.02    0.1    5.0  09:45    182
 05   35.1   42.4  14:00   26.9  08:00   29.9    0.0   0.01    0.5   12.0  23:20     26
 06   32.1   34.7  00:05   27.1  23:55   32.9    0.0   0.00    3.0   23.0  11:35    193
 07   25.8   30.5  14:05   22.2  23:50   39.2    0.0   0.00    2.8   20.0  02:10    189
 08   24.0   34.6  13:45   16.8  07:55   41.0    0.0   0.00    0.3    8.0  01:20    199
 09   22.6   33.4  13:15   14.4  07:20   42.4    0.0   0.00    0.1    5.0  11:50    216
 10   24.4   36.5  12:20   14.6  08:15   40.6    0.0   0.00    0.1    5.0  12:25    324
 11   26.7   39.1  13:25   17.7  07:05   38.3    0.0   0.00    0.1    5.0  14:00    225
 12   29.8   36.8  14:25   23.0  02:15   35.2    0.0   0.00    0.1    4.0  11:20     15
 13   32.6   36.4  14:40   27.4  08:30   32.4    0.0   0.01    1.3   11.0  18:20    186
 14   37.7   42.1  13:45   35.0  07:05   27.3    0.0   0.44    0.2    6.0  01:30    193
 15   44.0   48.7  20:15   37.1  00:05   21.0    0.0   0.23    1.5    9.0  13:20    178
 16   48.4   53.1  12:20   46.1  23:00   16.6    0.0   0.36    3.4   17.0  12:30    179
 17   45.7   48.7  12:55   41.3  08:35   19.3    0.0   0.01    0.2    7.0  01:10    181
 18   47.0   53.6  12:50   40.5  08:35   18.0    0.0   0.03    0.0    6.0  06:20    252
 19   45.2   46.5  00:05   44.3  23:10   19.8    0.0   0.48    0.0    7.0  11:05    336
 20   49.7   56.7  14:00   43.8  05:05   15.3    0.0   0.09    1.9   14.0  13:20    179
 21   43.5   51.4  00:20   36.3  22:50   21.5    0.0   0.23    3.4   19.0  10:40    181
 22   37.5   40.9  13:35   32.7  07:35   27.5    0.0   0.03    0.3    9.0  00:30    185
 23   36.2   43.3  13:00   32.0  07:40   28.8    0.0   0.00    0.0    6.0  13:05    326
 24   34.7   43.3  13:35   29.1  08:15   30.3    0.0   0.00    0.1    5.0  10:45      4
 25   34.6   44.7  12:40   27.2  08:25   30.4    0.0   0.00    0.1    9.0  13:55    349
 26   36.3   50.1  15:10   26.9  07:00   28.7    0.0   0.01    0.3   13.0  17:50    203
 27   33.8   46.0  15:10   27.0  08:00   31.2    0.0   0.00    0.1    4.0  00:15    187
 28   38.8   49.0  14:50   31.5  23:45   26.2    0.0   0.00    0.0    4.0  10:25    208
 29   33.1   37.3  15:35   27.7  05:45   31.9    0.0   0.08    0.1    8.0  16:25    204
 30   40.8   45.8  13:20   35.7  01:00   24.2    0.0   0.06    1.8   13.0  12:20    183
 31   41.2   49.0  23:55   35.8  04:55   23.8    0.0   0.26    0.4    8.0  22:15    184
---------------------------------------------------------------------------------------
      36.4   56.7     20   14.4     09  887.1    0.0   2.36    0.7   23.0     06    182
    
