                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2021


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   46.8   59.8  14:28   36.8  02:01   18.2    0.0   0.00    1.7   11.0  16:30    228
 02   44.0   51.0  14:40   39.7  23:55   21.0    0.0   0.00    0.9    8.0  09:10    309
 03   43.5   57.2  14:28   30.9  06:45   21.5    0.0   0.00    1.0    8.0  10:35    326
 04   43.5   52.9  13:55   34.0  05:03   21.5    0.0   0.17    2.1   15.0  14:20    171
 05   47.0   52.4  09:32   43.7  05:35   18.0    0.0   0.01    4.4   27.0  10:12    199
 06   44.4   51.5  14:23   40.9  22:44   20.6    0.0   0.01    4.0   19.0  09:50    207
 07   42.2   49.5  11:14   34.1  23:59   22.8    0.0   0.06    5.2   36.0  11:45    193
 08   41.5   51.2  13:02   29.4  05:09   23.5    0.0   0.00    1.3   11.0  19:40    137
 09   42.3   54.8  12:26   33.8  04:11   22.7    0.0   0.00    1.0   12.0  15:44    327
 10   42.1   55.3  13:24   31.5  04:33   22.9    0.0   0.00    2.1   15.0  18:44      4
 11   44.1   56.1  12:50   35.1  06:55   20.9    0.0   0.00    1.6   11.0  09:29     33
 12   44.2   59.0  13:48   31.1  06:36   20.8    0.0   0.00    1.2    9.0  12:48      5
 13   46.9   63.4  13:59   32.1  05:11   18.1    0.0   0.00    1.2    9.0  15:38    230
 14   41.8   47.1  13:31   37.5  20:28   23.2    0.0   0.25    1.8   15.0  17:19    183
 15   38.8   48.9  15:17   32.5  23:47   26.2    0.0   0.05    1.4   14.0  15:26    327
 16   40.5   53.7  14:41   29.7  07:28   24.5    0.0   0.00    1.1   12.0  14:23    355
 17   44.7   59.8  15:09   31.4  07:06   20.3    0.0   0.00    1.0    8.0  15:31    322
 18   44.2   56.4  13:20   37.3  05:59   20.8    0.0   0.10    2.1   19.0  17:00    182
 19   48.3   54.7  13:20   41.1  00:13   16.7    0.0   0.02    5.3   25.0  17:44    187
 20   45.0   53.1  15:25   41.3  23:27   20.0    0.0   0.17    5.8   26.0  18:25    217
 21   41.9   44.2  15:31   39.7  04:59   23.1    0.0   0.05    5.6   21.0  23:33    203
 22   43.0   52.7  15:09   36.3  23:55   22.0    0.0   0.08    3.3   22.0  01:40    190
 23   44.5   56.3  14:54   33.9  02:39   20.5    0.0   0.00    1.2   11.0  23:39    275
 24   45.2   52.2  16:47   41.0  04:51   19.8    0.0   0.37    5.7   23.0  13:03    214
 25   45.4   53.9  14:41   41.2  06:49   19.6    0.0   0.28    1.9   13.0  13:30    322
 26   46.6   53.9  15:23   40.0  02:18   18.4    0.0   0.00    3.1   15.0  16:34    222
 27   47.4   56.6  14:56   39.5  04:39   17.6    0.0   0.00    1.4    9.0  13:32    203
 28   42.3   46.2  11:00   38.0  21:18   22.7    0.0   0.26    7.4   34.0  17:30    226
 29   42.4   53.5  14:36   32.3  06:41   22.6    0.0   0.00    2.3   18.0  00:00    255
 30   42.8   55.4  14:48   30.7  07:23   22.2    0.0   0.00    1.3   10.0  11:39    329
 31   45.9   59.9  15:35   32.6  06:17   19.1    0.0   0.00    1.3   10.0  11:38     22
---------------------------------------------------------------------------------------
      44.0   63.4     13   29.4     08  651.8    0.0   1.88    2.6   36.0     07    212
    
