                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2021


NAME: Federal Way, Washington                  
ELEV: 365 feet    LAT: 47-18.60 N    LONG: 122-21.60 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   59.1   74.0  13:54   44.8  06:41    5.9    0.0   0.00    1.6   16.0  15:50    351
 02   63.1   80.3  15:28   46.9  06:50    1.9    0.0   0.00    1.2   11.0  14:09      4
 03   64.1   83.3  12:34   47.3  06:11    0.9    0.0   0.00    1.0   10.0  14:17    355
 04   65.7   82.8  15:11   49.7  06:11    0.0    0.7   0.00    1.6   14.0  16:45    240
 05   69.8   86.5  15:28   63.0  23:52    0.0    4.8   0.00    1.3   12.0  14:21    254
 06   66.3   80.4  14:12   57.2  23:59    0.0    1.3   0.00    1.7   11.0  00:40    338
 07   65.2   82.5  14:21   50.9  07:05    0.0    0.2   0.00    1.4   14.0  14:50      5
 08   70.9   86.0  13:50   60.7  23:58    0.0    5.9   0.00    2.0   12.0  03:34    254
 09   67.6   83.6  15:35   55.0  05:52    0.0    2.6   0.00    1.5   13.0  17:20    247
 10   61.8   66.9  17:58   58.0  23:21    3.2    0.0   0.00    1.6   12.0  18:46    217
 11   63.7   79.0  14:09   56.3  05:52    1.3    0.0   0.00    1.7   12.0  12:33    204
 12   59.6   69.0  16:12   55.8  23:57    5.4    0.0   0.06    0.6    8.0  12:57     28
 13   61.5   76.3  15:13   52.4  23:52    3.5    0.0   0.00    1.1   13.0  14:18     23
 14   60.9   73.1  11:59   47.7  06:34    4.1    0.0   0.01    1.2   11.0  16:25    240
 15   59.0   70.0  15:19   53.0  07:54    6.0    0.0   0.07    1.1   12.0  00:57    295
 16   56.5   71.4  13:51   42.5  07:11    8.5    0.0   0.00    1.0   10.0  11:02     17
 17   57.9   69.1  22:03   53.1  06:20    7.1    0.0   0.57    2.4   25.0  23:10    189
 18   56.3   67.4  13:11   51.9  23:49    8.7    0.0   0.79    3.4   18.0  02:55    186
 19   56.4   62.7  17:25   51.3  01:59    8.6    0.0   0.08    2.9   19.0  11:01    221
 20   59.6   73.3  13:47   51.8  23:58    5.4    0.0   0.00    1.3   11.0  13:12    227
 21   60.8   77.8  14:41   46.9  07:18    4.2    0.0   0.00    1.0    9.0  16:31     26
 22   58.6   69.0  10:57   51.3  03:16    6.4    0.0   0.00    0.7   11.0  11:49    214
 23   60.2   73.5  14:18   53.6  23:55    4.8    0.0   0.00    1.0   11.0  13:46    354
 24   61.2   75.6  14:09   51.3  04:32    3.8    0.0   0.00    1.1   11.0  12:15     21
 25   63.8   84.2  14:37   49.4  07:03    1.2    0.0   0.00    1.0   12.0  17:40    249
 26   57.7   66.8  12:02   51.9  04:59    7.3    0.0   0.26    2.0   12.0  23:06    181
 27   55.8   60.2  00:25   50.9  19:14    9.2    0.0   0.56    3.4   24.0  18:27    193
 28   54.9   64.9  12:31   50.7  06:49   10.1    0.0   0.02    4.1   18.0  09:26    208
 29   55.1   59.6  15:48   49.0  06:42    9.9    0.0   0.02    1.2    9.0  01:21    172
 30   55.9   63.6  09:42   49.8  21:22    9.1    0.0   0.62    2.5   20.0  10:35    199
---------------------------------------------------------------------------------------
      61.0   86.5     05   42.5     16  136.3   15.6   3.06    1.6   25.0     17    222
    
